iter	Passed	Remaining
0	205	204938
1	341	170537
2	443	147400
3	575	143268
4	711	141619
5	862	142960
6	990	140550
7	1123	139269
8	1239	136525
9	1348	133547
10	1561	140384
11	1663	136981
12	1792	136074
13	1928	135840
14	2022	132837
15	2123	130621
16	2222	128505
17	2343	127866
18	2464	127254
19	2614	128087
20	2714	126568
21	2814	125098
22	2903	123332
23	3008	122353
24	3122	121777
25	3250	121781
26	3372	121541
27	3512	121920
28	3654	122371
29	3767	121807
30	3889	121590
31	3998	120953
32	4127	120956
33	4219	119870
34	4308	118786
35	4419	118344
36	4545	118298
37	4641	117505
38	4761	117322
39	4939	118539
40	5083	118908
41	5176	118083
42	5299	117944
43	5399	117320
44	5598	118821
45	5864	121627
46	5973	121123
47	6082	120636
48	6172	119788
49	6258	118912
50	6348	118128
51	6444	117484
52	6573	117454
53	6680	117039
54	6803	116889
55	6887	116097
56	7016	116082
57	7133	115864
58	7252	115670
59	7378	115602
60	7468	114970
61	7600	114981
62	7694	114446
63	7779	113771
64	7877	113311
65	7983	112972
66	8133	113266
67	8270	113353
68	8407	113438
69	8559	113717
70	8722	114133
71	8870	114335
72	9022	114569
73	9226	115450
74	9347	115280
75	9519	115740
76	9709	116387
77	9907	117114
78	10065	117342
79	10248	117853
80	10452	118594
81	10626	118961
82	10848	119861
83	11011	120075
84	11106	119556
85	11218	119228
86	11357	119188
87	11502	119205
88	11634	119089
89	11763	118938
90	11865	118527
91	11962	118060
92	12087	117881
93	12248	118057
94	12393	118060
95	12521	117906
96	12647	117740
97	12771	117549
98	12893	117347
99	13023	117215
100	13132	116892
101	13235	116528
102	13365	116396
103	13493	116253
104	13637	116245
105	13765	116101
106	13907	116073
107	14038	115944
108	14155	115712
109	14303	115729
110	14408	115401
111	14524	115156
112	14649	114991
113	14764	114751
114	14895	114634
115	15087	114978
116	15214	114822
117	15347	114717
118	15468	114517
119	15597	114384
120	15721	114209
121	15873	114236
122	15995	114052
123	16124	113910
124	16243	113702
125	16441	114044
126	16561	113843
127	16676	113606
128	16781	113305
129	16924	113265
130	17036	113011
131	17163	112865
132	17267	112563
133	17415	112553
134	17528	112312
135	17651	112136
136	17773	111957
137	17913	111897
138	18087	112041
139	18259	112163
140	18359	111852
141	18494	111748
142	18597	111456
143	18730	111341
144	18861	111219
145	18994	111106
146	19131	111015
147	19262	110889
148	19372	110644
149	19516	110591
150	19653	110503
151	19770	110297
152	19891	110119
153	20040	110091
154	20241	110350
155	20357	110138
156	20466	109891
157	20589	109724
158	20690	109437
159	20844	109431
160	21010	109489
161	21220	109772
162	21346	109611
163	21469	109440
164	21625	109436
165	21738	109214
166	21886	109172
167	22022	109065
168	22150	108917
169	22255	108659
170	22378	108490
171	22489	108261
172	22689	108461
173	22823	108344
174	22962	108251
175	23082	108068
176	23231	108018
177	23351	107838
178	23488	107733
179	23604	107533
180	23747	107454
181	23873	107300
182	23992	107113
183	24134	107033
184	24244	106806
185	24365	106630
186	24499	106513
187	24607	106284
188	24776	106317
189	24902	106164
190	25020	105977
191	25142	105808
192	25291	105752
193	25398	105523
194	25491	105236
195	25623	105108
196	25801	105169
197	25896	104893
198	25996	104637
199	26108	104434
200	26213	104202
201	26449	104489
202	26592	104406
203	26749	104373
204	26936	104462
205	27063	104312
206	27195	104182
207	27346	104128
208	27481	104009
209	27600	103828
210	27715	103637
211	27831	103450
212	27969	103343
213	28089	103170
214	28217	103027
215	28344	102878
216	28453	102666
217	28570	102487
218	28699	102348
219	28811	102151
220	28940	102012
221	29048	101799
222	29168	101633
223	29275	101418
224	29396	101253
225	29527	101124
226	29630	100901
227	29750	100732
228	29874	100581
229	30060	100637
230	30174	100450
231	30280	100239
232	30414	100118
233	30551	100009
234	30663	99820
235	30780	99645
236	30901	99485
237	31048	99406
238	31166	99236
239	31282	99061
240	31406	98911
241	31550	98824
242	31660	98629
243	31755	98390
244	31886	98263
245	31999	98078
246	32175	98089
247	32281	97887
248	32395	97707
249	32526	97578
250	32655	97444
251	32771	97274
252	32898	97135
253	33006	96941
254	33171	96911
255	33286	96738
256	33405	96578
257	33505	96361
258	33611	96162
259	33739	96027
260	33841	95820
261	33939	95599
262	34050	95418
263	34156	95223
264	34319	95188
265	34439	95032
266	34552	94858
267	34700	94780
268	34820	94622
269	34940	94469
270	35056	94304
271	35202	94218
272	35422	94329
273	35567	94242
274	35720	94172
275	35846	94033
276	35950	93834
277	36079	93702
278	36201	93553
279	36384	93560
280	36507	93412
281	36615	93226
282	36735	93071
283	36873	92961
284	37056	92967
285	37183	92829
286	37318	92711
287	37498	92704
288	37608	92523
289	37713	92333
290	37833	92178
291	37999	92135
292	38137	92023
293	38244	91838
294	38373	91706
295	38553	91693
296	38651	91488
297	38770	91331
298	38904	91210
299	39014	91033
300	39118	90844
301	39227	90663
302	39342	90500
303	39449	90318
304	39798	90687
305	39929	90560
306	40067	90446
307	40193	90304
308	40331	90190
309	40446	90026
310	40550	89837
311	40644	89625
312	40762	89468
313	40927	89415
314	41025	89215
315	41148	89068
316	41260	88899
317	41459	88915
318	41626	88864
319	41723	88663
320	41858	88540
321	41991	88417
322	42120	88284
323	42253	88158
324	42385	88030
325	42508	87886
326	42614	87704
327	42714	87512
328	42826	87346
329	42972	87247
330	43087	87085
331	43214	86948
332	43319	86769
333	43443	86627
334	43554	86458
335	43717	86394
336	43854	86277
337	43971	86122
338	44142	86070
339	44244	85887
340	44350	85709
341	44481	85581
342	44588	85407
343	44681	85207
344	44788	85033
345	44901	84872
346	45023	84727
347	45246	84771
348	45379	84647
349	45503	84506
350	45614	84340
351	45741	84206
352	45878	84089
353	45985	83917
354	46103	83765
355	46281	83722
356	46370	83518
357	46477	83347
358	46587	83183
359	46703	83028
360	46806	82850
361	46911	82678
362	47018	82508
363	47156	82394
364	47346	82369
365	47457	82208
366	47571	82050
367	47681	81887
368	47813	81763
369	47909	81575
370	48013	81402
371	48120	81236
372	48217	81051
373	48390	80995
374	48493	80821
375	48656	80749
376	48758	80574
377	48867	80412
378	48975	80247
379	49084	80086
380	49193	79923
381	49294	79748
382	49478	79707
383	49588	79548
384	49709	79406
385	49828	79261
386	49952	79123
387	50065	78968
388	50191	78835
389	50293	78664
390	50423	78537
391	50595	78474
392	50692	78295
393	50809	78149
394	50896	77955
395	51010	77804
396	51128	77658
397	51248	77516
398	51377	77387
399	51497	77246
400	51677	77194
401	51791	77042
402	51914	76904
403	52076	76825
404	52209	76703
405	52321	76548
406	52423	76381
407	52529	76219
408	52712	76169
409	52838	76036
410	52953	75886
411	53083	75759
412	53234	75661
413	53540	75784
414	53682	75673
415	53920	75696
416	54016	75519
417	54123	75358
418	54247	75221
419	54392	75113
420	54492	74942
421	54594	74776
422	54712	74631
423	54815	74465
424	54986	74393
425	55081	74217
426	55211	74089
427	55314	73925
428	55471	73833
429	55599	73702
430	55712	73551
431	55831	73407
432	56015	73350
433	56145	73221
434	56259	73072
435	56387	72941
436	56516	72812
437	56605	72630
438	56707	72466
439	56830	72329
440	56928	72160
441	57099	72084
442	57223	71949
443	57334	71796
444	57435	71632
445	57545	71480
446	57653	71324
447	57748	71154
448	57841	70981
449	57947	70824
450	58061	70678
451	58268	70644
452	58407	70527
453	58527	70387
454	58654	70256
455	58780	70123
456	58882	69963
457	58991	69810
458	59095	69652
459	59450	69790
460	59567	69645
461	59656	69469
462	59761	69313
463	59872	69163
464	60000	69032
465	60133	68908
466	60245	68760
467	60370	68626
468	60619	68633
469	60760	68516
470	60857	68351
471	60965	68198
472	61066	68038
473	61166	67876
474	61276	67726
475	61389	67579
476	61478	67407
477	61684	67362
478	61786	67203
479	61894	67051
480	62010	66909
481	62128	66768
482	62328	66715
483	62430	66558
