iter	Accuracy	Logloss
0	0.7946127946	0.6397129244
1	0.8069584736	0.5953384552
2	0.8125701459	0.5538564923
3	0.8114478114	0.5270151142
4	0.8181818182	0.4992620547
5	0.8204264871	0.4801853462
6	0.8215488215	0.4640913186
7	0.8193041526	0.4519100318
8	0.8249158249	0.4390490813
9	0.8260381594	0.4304496782
10	0.8260381594	0.4258947143
11	0.8271604938	0.4201893043
12	0.8282828283	0.4139056027
13	0.8271604938	0.4094380764
14	0.8260381594	0.4039126631
15	0.8249158249	0.401780204
16	0.8294051627	0.3994104126
17	0.8305274972	0.3958626543
18	0.835016835	0.3926441211
19	0.8338945006	0.3900708311
20	0.8428731762	0.3888530335
21	0.8451178451	0.3865512235
22	0.8451178451	0.3864703875
23	0.8484848485	0.384690461
24	0.847362514	0.3821444316
25	0.8518518519	0.376701235
26	0.8518518519	0.375833408
27	0.8507295174	0.3753975484
28	0.8540965208	0.3724529454
29	0.8529741863	0.3715502537
30	0.8518518519	0.3694610924
31	0.8563411897	0.3682223247
32	0.8585858586	0.365693612
33	0.8574635241	0.3648124063
34	0.8552188552	0.3625797353
35	0.8563411897	0.3624398281
36	0.8552188552	0.3615374574
37	0.8585858586	0.3584949409
38	0.8608305275	0.3575985659
39	0.8608305275	0.3575985539
40	0.8641975309	0.3556902554
41	0.8641975309	0.3549463358
42	0.8641975309	0.3540937134
43	0.8641975309	0.3539320632
44	0.861952862	0.3512288422
45	0.8630751964	0.3478601256
46	0.8630751964	0.3474352233
47	0.8641975309	0.3471305585
48	0.8641975309	0.3450244846
49	0.8653198653	0.3442366561
50	0.8653198653	0.3439953627
51	0.8653198653	0.3432869937
52	0.8653198653	0.3426841355
53	0.8653198653	0.3416829578
54	0.8653198653	0.3405996052
55	0.8698092031	0.3387953291
56	0.8686868687	0.3379559675
57	0.8709315376	0.3358412084
58	0.874298541	0.3323514196
59	0.8754208754	0.3315135338
60	0.8731762065	0.3308299222
61	0.8731762065	0.3304809112
62	0.8754208754	0.330397476
63	0.874298541	0.3302407914
64	0.874298541	0.3298819516
65	0.874298541	0.3290567448
66	0.8754208754	0.3260232103
67	0.8765432099	0.3259722154
68	0.8799102132	0.3238064219
69	0.8799102132	0.3225364671
70	0.8799102132	0.3215490227
71	0.8787878788	0.3203191594
72	0.8776655443	0.3195986444
73	0.8776655443	0.3193103333
74	0.8754208754	0.3187886668
75	0.8765432099	0.3166602653
76	0.8843995511	0.313946394
77	0.8855218855	0.3132886952
78	0.8877665544	0.3111550568
79	0.8877665544	0.3110968885
80	0.8900112233	0.3089252071
81	0.8888888889	0.3082850691
82	0.8888888889	0.3081876677
83	0.8900112233	0.3073127518
84	0.8900112233	0.306900979
85	0.8933782267	0.3043807878
86	0.8945005612	0.3026013371
87	0.8945005612	0.3021613296
88	0.8956228956	0.3007294658
89	0.9001122334	0.2990636745
90	0.8978675645	0.2974772252
91	0.8978675645	0.296174118
92	0.898989899	0.2950695372
93	0.8967452301	0.2949372305
94	0.898989899	0.2927614859
95	0.898989899	0.291763022
96	0.898989899	0.2899343708
97	0.9001122334	0.2885174355
98	0.9001122334	0.2870706191
99	0.9034792368	0.2849432236
100	0.9023569024	0.2837494549
101	0.9068462402	0.2821157872
102	0.9068462402	0.2816549331
103	0.9046015713	0.279039672
104	0.9068462402	0.2759406317
105	0.9079685746	0.2749930943
106	0.9090909091	0.2745334475
107	0.911335578	0.2734241753
108	0.911335578	0.273088648
109	0.911335578	0.2715369678
110	0.911335578	0.2707596418
111	0.911335578	0.2700562946
112	0.911335578	0.2694271259
113	0.911335578	0.2689518348
114	0.9135802469	0.2678781859
115	0.9135802469	0.2674755073
116	0.9147025814	0.2662756271
117	0.9158249158	0.2649452022
118	0.9169472503	0.2639829307
119	0.9169472503	0.2635393626
