iter	Passed	Remaining
0	26	26335
1	42	21093
2	78	26092
3	103	25806
4	124	24791
5	156	25873
6	183	25969
7	200	24901
8	212	23386
9	233	23165
10	248	22329
11	260	21446
12	282	21466
13	299	21088
14	332	21828
15	347	21344
16	368	21330
17	408	22303
18	445	23018
19	477	23407
20	493	22997
21	531	23619
22	560	23799
23	591	24058
24	616	24051
25	645	24188
26	659	23750
27	675	23440
28	697	23368
29	715	23149
30	738	23074
31	746	22588
32	769	22560
33	790	22459
34	809	22326
35	814	21802
36	835	21734
37	857	21698
38	875	21573
39	876	21041
40	902	21113
41	908	20732
42	915	20380
43	922	20033
44	938	19910
45	966	20044
46	976	19809
47	996	19757
48	1014	19687
49	1039	19755
50	1048	19504
51	1060	19338
52	1066	19064
53	1077	18872
54	1094	18801
55	1115	18803
56	1120	18531
57	1147	18637
58	1172	18695
59	1186	18590
60	1210	18633
61	1233	18663
62	1246	18544
63	1265	18501
64	1273	18316
65	1288	18237
66	1314	18304
67	1317	18051
68	1327	17910
69	1340	17807
70	1353	17715
71	1367	17630
72	1385	17594
73	1403	17557
74	1418	17498
75	1430	17392
76	1452	17411
77	1471	17397
78	1493	17407
79	1503	17284
80	1517	17221
81	1534	17176
82	1536	16980
83	1549	16896
84	1572	16923
85	1594	16946
86	1614	16939
87	1638	16982
88	1660	16993
89	1680	16990
90	1708	17070
91	1734	17120
92	1754	17115
93	1759	16959
94	1777	16934
95	1807	17023
96	1826	17004
97	1842	16955
98	1853	16869
99	1876	16890
100	1899	16911
101	1918	16887
102	1921	16736
103	1941	16724
104	1969	16785
105	1985	16745
106	2003	16724
107	2019	16676
108	2030	16601
109	2056	16641
110	2074	16611
111	2096	16625
112	2103	16509
113	2128	16545
114	2143	16496
115	2165	16501
116	2183	16479
117	2212	16536
118	2231	16517
119	2243	16453
120	2258	16403
121	2271	16344
122	2295	16365
123	2323	16417
124	2337	16364
125	2353	16323
126	2381	16370
127	2402	16366
128	2423	16362
129	2442	16348
130	2465	16358
131	2489	16371
132	2506	16340
133	2531	16362
134	2558	16393
135	2579	16385
136	2598	16370
137	2623	16385
138	2645	16388
139	2665	16372
140	2687	16373
141	2710	16380
142	2734	16388
143	2746	16324
144	2768	16325
145	2780	16266
146	2812	16322
147	2831	16297
148	2844	16244
149	2864	16232
150	2884	16216
151	2900	16179
152	2911	16115
153	2936	16131
154	2948	16076
155	2978	16116
156	2985	16029
157	2996	15968
158	3008	15911
159	3031	15916
160	3053	15910
161	3082	15947
162	3105	15944
163	3133	15975
164	3158	15986
165	3175	15955
166	3208	16006
167	3235	16021
168	3255	16006
169	3276	15994
170	3300	16002
171	3321	15988
172	3338	15961
173	3361	15959
174	3370	15887
175	3395	15898
176	3415	15880
177	3438	15880
178	3447	15810
179	3480	15854
180	3492	15804
181	3511	15781
182	3522	15724
183	3540	15699
184	3553	15656
185	3565	15605
186	3589	15605
187	3603	15564
188	3634	15594
189	3650	15564
190	3669	15543
191	3686	15514
192	3698	15463
193	3718	15450
194	3741	15444
195	3751	15388
196	3769	15364
197	3788	15347
198	3807	15324
199	3823	15295
200	3846	15290
201	3863	15263
202	3875	15215
203	3896	15203
204	3916	15190
205	3937	15176
206	3965	15192
207	3988	15185
208	4003	15152
209	4014	15102
210	4029	15066
211	4032	14990
212	4048	14956
213	4064	14930
214	4084	14914
215	4106	14904
216	4134	14917
217	4154	14901
218	4175	14890
219	4202	14899
220	4222	14885
221	4245	14879
222	4263	14853
223	4276	14816
224	4298	14804
225	4311	14764
226	4328	14741
227	4348	14723
228	4369	14712
229	4387	14688
230	4403	14658
231	4427	14654
232	4444	14631
233	4466	14622
234	4485	14601
235	4500	14569
236	4522	14560
237	4544	14549
238	4560	14519
239	4579	14500
240	4598	14481
241	4618	14466
242	4642	14461
243	4658	14432
244	4681	14425
245	4693	14385
246	4717	14381
247	4740	14375
248	4768	14381
249	4794	14383
250	4807	14345
251	4823	14316
252	4849	14318
253	4862	14281
254	4883	14268
255	4899	14239
256	4919	14221
257	4944	14221
258	4963	14201
259	4988	14198
260	5003	14167
261	5029	14167
262	5045	14138
263	5069	14132
264	5081	14094
265	5103	14082
266	5132	14089
267	5150	14067
268	5171	14052
269	5191	14035
270	5215	14029
271	5238	14021
272	5256	13997
273	5273	13971
274	5300	13973
275	5315	13942
276	5341	13941
277	5347	13888
278	5365	13864
279	5381	13837
280	5398	13814
281	5420	13801
282	5444	13792
283	5463	13773
284	5470	13723
285	5484	13691
286	5504	13676
287	5523	13654
288	5549	13652
289	5572	13643
290	5599	13642
291	5616	13618
292	5637	13603
293	5659	13589
294	5671	13554
295	5693	13541
296	5718	13535
297	5747	13539
298	5766	13518
299	5797	13528
300	5801	13471
301	5821	13454
302	5840	13435
303	5860	13417
304	5874	13385
305	5889	13356
306	5907	13335
307	5935	13335
308	5957	13323
309	5972	13294
310	5991	13274
311	6004	13239
312	6029	13235
313	6058	13235
314	6082	13227
315	6093	13189
316	6112	13170
317	6137	13162
318	6151	13132
319	6162	13094
320	6186	13085
321	6206	13069
322	6223	13044
323	6237	13013
324	6255	12992
325	6282	12989
326	6305	12977
327	6317	12943
328	6345	12942
329	6371	12935
330	6393	12921
331	6412	12902
332	6421	12862
333	6451	12864
334	6470	12845
335	6487	12820
336	6514	12815
337	6542	12814
338	6566	12804
339	6592	12796
340	6609	12774
341	6628	12752
342	6645	12729
343	6660	12701
344	6686	12695
345	6710	12684
346	6731	12668
347	6757	12660
348	6787	12661
349	6807	12641
350	6832	12633
351	6849	12609
352	6865	12583
353	6881	12557
354	6903	12543
355	6931	12539
356	6950	12518
357	6971	12502
358	6991	12484
359	7022	12485
360	7039	12459
361	7067	12456
362	7089	12440
363	7119	12440
364	7154	12447
365	7182	12441
366	7205	12428
367	7223	12405
368	7246	12391
369	7257	12356
370	7282	12346
371	7305	12332
372	7331	12323
373	7344	12293
374	7370	12284
375	7390	12265
376	7407	12241
377	7430	12227
378	7460	12224
379	7476	12197
380	7495	12177
381	7510	12151
382	7526	12124
383	7538	12092
384	7559	12075
385	7569	12040
386	7594	12030
387	7609	12002
388	7629	11983
389	7646	11960
390	7659	11929
391	7678	11909
392	7696	11887
393	7709	11857
394	7730	11841
395	7751	11822
396	7772	11805
397	7785	11776
398	7800	11750
399	7823	11735
400	7846	11721
401	7870	11707
402	7878	11670
403	7899	11653
404	7918	11633
405	7945	11624
406	7961	11600
407	7985	11587
408	8007	11571
409	8030	11555
410	8054	11542
411	8078	11529
412	8093	11502
413	8117	11490
414	8131	11461
415	8157	11451
416	8180	11437
417	8203	11421
418	8231	11413
419	8254	11398
420	8264	11365
421	8286	11349
422	8303	11326
423	8330	11316
424	8348	11294
425	8364	11269
426	8383	11250
427	8401	11228
428	8424	11213
429	8444	11194
430	8458	11166
431	8483	11154
432	8511	11145
433	8533	11129
434	8556	11113
435	8573	11090
436	8592	11070
437	8615	11054
438	8632	11031
439	8658	11020
440	8680	11002
441	8692	10973
442	8716	10959
443	8737	10941
444	8764	10930
445	8793	10922
446	8819	10910
447	8830	10879
448	8845	10855
449	8865	10835
450	8883	10813
451	8907	10798
452	8932	10785
453	8948	10762
454	8969	10743
455	8992	10728
456	9009	10705
457	9033	10690
458	9048	10664
459	9072	10650
460	9080	10616
461	9109	10608
462	9131	10591
463	9148	10568
464	9175	10556
465	9201	10544
466	9225	10529
467	9247	10511
468	9273	10499
469	9291	10477
470	9312	10458
471	9332	10439
472	9353	10421
473	9370	10398
474	9399	10388
475	9424	10375
476	9448	10359
477	9466	10337
478	9494	10326
479	9518	10312
480	9540	10294
481	9565	10279
482	9579	10253
483	9597	10232
484	9620	10215
485	9635	10190
486	9656	10171
487	9673	10148
488	9696	10132
489	9716	10113
490	9721	10077
491	9729	10045
492	9752	10029
493	9776	10013
494	9802	10000
495	9820	9978
496	9830	9949
497	9860	9939
498	9875	9914
499	9891	9891
500	9908	9868
501	9939	9860
502	9958	9839
503	9978	9820
504	9994	9796
505	10016	9778
506	10029	9752
507	10055	9738
508	10080	9724
509	10114	9717
510	10137	9700
511	10164	9688
512	10178	9662
513	10188	9633
514	10207	9612
515	10224	9590
516	10253	9579
517	10278	9564
518	10298	9544
519	10323	9529
520	10346	9512
521	10373	9498
522	10394	9480
523	10425	9470
524	10449	9454
525	10465	9431
526	10495	9419
527	10517	9402
528	10542	9386
529	10559	9363
530	10586	9350
531	10602	9326
532	10619	9304
533	10639	9284
534	10655	9261
535	10677	9243
536	10699	9224
537	10716	9202
538	10739	9185
539	10775	9179
540	10797	9160
541	10819	9142
542	10835	9119
543	10859	9103
544	10882	9085
545	10901	9064
546	10913	9038
547	10938	9022
548	10955	8999
549	10983	8986
550	11006	8968
551	11029	8951
552	11057	8938
553	11078	8919
554	11105	8904
555	11126	8885
556	11154	8871
557	11179	8855
558	11204	8839
559	11231	8824
560	11257	8809
561	11277	8788
562	11302	8773
563	11318	8749
564	11349	8737
565	11375	8722
566	11403	8708
567	11414	8681
568	11438	8663
569	11457	8643
570	11487	8630
571	11506	8609
572	11529	8591
573	11543	8567
574	11566	8549
575	11577	8522
576	11593	8499
577	11610	8477
578	11628	8455
579	11650	8436
580	11669	8415
581	11696	8400
582	11717	8380
583	11738	8361
584	11756	8340
585	11770	8315
586	11785	8291
587	11807	8273
588	11828	8254
589	11843	8230
590	11863	8210
591	11886	8191
592	11904	8170
593	11923	8149
594	11933	8122
595	11954	8103
596	11976	8084
597	11994	8063
598	12010	8040
599	12032	8021
600	12046	7997
601	12075	7983
602	12099	7965
603	12105	7936
604	12116	7910
605	12144	7895
606	12167	7878
607	12189	7859
608	12211	7840
609	12236	7823
610	12264	7808
611	12285	7789
612	12308	7770
613	12326	7749
614	12345	7728
615	12370	7711
616	12387	7689
617	12408	7669
618	12431	7651
619	12454	7633
620	12474	7613
621	12493	7592
622	12515	7573
623	12540	7556
624	12559	7535
625	12574	7512
626	12591	7490
627	12606	7467
628	12622	7445
629	12648	7428
630	12669	7408
631	12691	7390
632	12720	7375
633	12732	7350
634	12748	7327
635	12773	7310
636	12795	7291
637	12813	7270
638	12837	7252
639	12853	7229
640	12873	7209
641	12893	7190
642	12911	7168
643	12926	7145
644	12954	7129
645	12965	7104
646	12984	7084
647	13012	7068
648	13036	7050
649	13049	7026
650	13068	7005
651	13086	6984
652	13098	6960
653	13114	6938
654	13134	6918
655	13161	6901
656	13181	6881
657	13215	6868
658	13237	6849
659	13281	6842
660	13317	6830
661	13344	6813
662	13403	6812
663	13426	6793
664	13457	6779
665	13486	6763
